Date, Open, High, Low, Close, Volume
06/25/13, 13010, 13270, 13010, 13270, 69
06/24/13, 13200, 13200, 13130, 13130, 6
06/20/13, 13155, 13275, 13155, 13275, 3
06/19/13, 13205, 13205, 13155, 13155, 97
06/17/13, 13120, 13280, 13120, 13280, 61
06/14/13, 13290, 13300, 13050, 13050, 12
06/13/13, 13300, 13300, 13290, 13290, 119
06/12/13, 13190, 13300, 13190, 13300, 113
06/11/13, 13000, 13185, 13000, 13050, 129
06/10/13, 13100, 13100, 13005, 13095, 64
06/07/13, 13000, 13000, 13000, 13000, 41
06/06/13, 13050, 13050, 13000, 13000, 125
06/05/13, 13080, 13080, 13080, 13080, 28
06/04/13, 13000, 13080, 12950, 13080, 81
06/03/13, 13100, 13100, 13040, 13040, 84
05/31/13, 13000, 13100, 12900, 13100, 108
05/30/13, 13000, 13000, 12950, 12955, 180
05/29/13, 13100, 13100, 13100, 13100, 30
05/28/13, 13110, 13110, 13100, 13100, 73
05/27/13, 13100, 13100, 13100, 13100, 3
05/24/13, 12900, 13100, 12900, 13100, 303
05/23/13, 12850, 12870, 12850, 12870, 766
05/22/13, 12805, 12930, 12805, 12930, 50
05/21/13, 12685, 12840, 12685, 12840, 12
05/17/13, 12695, 12700, 12600, 12600, 53
05/16/13, 12620, 12790, 12500, 12600, 36
05/15/13, 12980, 12980, 12320, 12790, 1090
05/14/13, 12950, 12980, 12950, 12980, 56
05/13/13, 12980, 12980, 12980, 12980, 20
05/10/13, 13000, 13000, 12980, 12980, 17
05/09/13, 13000, 13000, 13000, 13000, 80
05/07/13, 13000, 13000, 12800, 13000, 222
05/06/13, 13000, 13000, 12800, 12800, 130
05/03/13, 12750, 13000, 12750, 13000, 11
05/02/13, 13000, 13000, 13000, 13000, 42
04/30/13, 13000, 13000, 13000, 13000, 14
04/26/13, 12790, 13095, 12790, 13000, 100
04/24/13, 12700, 12790, 12555, 12790, 268
04/23/13, 12640, 12700, 12640, 12700, 463
04/19/13, 12500, 12500, 12450, 12450, 260
04/17/13, 12650, 12650, 12650, 12650, 3
04/16/13, 12600, 12600, 12590, 12590, 70
04/15/13, 12500, 12675, 12500, 12675, 4
04/12/13, 12695, 12695, 12695, 12695, 19
04/10/13, 12600, 12695, 12600, 12695, 250
04/09/13, 12690, 12690, 12500, 12500, 145
04/08/13, 12555, 12690, 12555, 12690, 59
04/05/13, 12230, 12570, 12230, 12570, 23
04/04/13, 12405, 12585, 12200, 12585, 171
04/03/13, 12365, 12555, 12365, 12500, 435
04/02/13, 12135, 12365, 12135, 12365, 28
03/28/13, 12160, 12400, 12125, 12125, 31
03/27/13, 12300, 12300, 12200, 12200, 44
03/22/13, 12200, 12200, 12200, 12200, 30
03/19/13, 12300, 12300, 12110, 12110, 23
03/18/13, 12365, 12445, 12365, 12445, 72
03/14/13, 12300, 12385, 12300, 12385, 8
03/13/13, 12120, 12120, 12115, 12115, 7
03/12/13, 12360, 12375, 12350, 12360, 114
03/11/13, 12300, 12380, 12100, 12100, 65
03/08/13, 12100, 12100, 12010, 12010, 34
03/07/13, 12180, 12385, 12180, 12385, 66
03/06/13, 12180, 12180, 11905, 12000, 270
03/05/13, 11995, 11995, 11995, 11995, 2
03/04/13, 12005, 12180, 11905, 11905, 191
02/27/13, 12020, 12020, 11995, 11995, 145
02/26/13, 12115, 12150, 12020, 12020, 74
02/21/13, 12160, 12160, 12150, 12150, 7
02/19/13, 12375, 12375, 12375, 12375, 8
02/18/13, 12370, 12370, 12295, 12300, 40
02/15/13, 12170, 12300, 12170, 12300, 14
02/14/13, 12370, 12370, 12370, 12370, 6
02/13/13, 12390, 12390, 12155, 12155, 158
02/12/13, 12395, 12400, 12300, 12400, 30
02/11/13, 12390, 12400, 12390, 12400, 24
02/08/13, 12390, 12400, 12390, 12400, 25
02/07/13, 12300, 12300, 12150, 12150, 53
02/04/13, 12445, 12445, 12445, 12445, 2
02/01/13, 12225, 12450, 12150, 12450, 465
01/31/13, 12235, 12235, 12200, 12200, 300
01/29/13, 12400, 12400, 12200, 12200, 1671
01/28/13, 11950, 12550, 11950, 12540, 1351
01/25/13, 11970, 11970, 11900, 11900, 51
01/24/13, 12000, 12000, 12000, 12000, 10
01/23/13, 11850, 11850, 11850, 11850, 40
01/22/13, 12100, 12100, 11900, 12000, 474
01/18/13, 12050, 12100, 11825, 12100, 126
01/15/13, 12000, 12000, 11950, 11950, 107
01/14/13, 11950, 12000, 11930, 12000, 234
01/11/13, 11950, 12000, 11950, 12000, 43
01/10/13, 12000, 12000, 12000, 12000, 69
